,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
207,N/A,N/A,nfx,N/A,N/A,N/A,N/A,N/A,74.29,5.85,2.28,1.34,39.34,51.79,7.83,1.5,16.70,5170000000.0,7910000000.0,28.27,4.48,3.46,3.85,3.46,1790000000.0,1.5,650000000.0,6.52,017.60,8.70,14000000.0,0.10,2890000000.0,0.85,28.75,38.16,1.5,0.64,95.40,6070000.0,2.00,3.80,6240000.0,N/A
208,N/A,N/A,ni,N/A,N/A,N/A,N/A,N/A,161.93,26.09,2.11,2.21,8.19,18.30,3.12,1.5,20.53,13760000000.0,23850000000.0,22.90,2.31,3.69,13.61,3.69,4250000000.0,1.5,530700000.00000006,1.67,1.60,5.90,25400000.0,0.08,10000000000.0,0.62,19.54,43.51,1.5,0.46,79.60,6100000.0,3.20,1.90,6020000.0,N/A
209,N/A,N/A,nke,N/A,N/A,N/A,N/A,N/A,10.12,28.58,2.80,6.85,10.27,13.60,13.41,1.5,34.93,85970000000.0,81790000000.0,25.25,2.32,2.70,17.05,2.70,12450000000.0,1.5,3110000000.0,3.50,16.00,7.00,5410000000.0,6.29,1250000000.0,2.72,14.38,99.99,1.5,0.18,84.40,6460000.0,1.50,1.20,7130000.0,N/A
210,N/A,N/A,noc,N/A,N/A,N/A,N/A,N/A,81.94,16.69,1.33,4.40,8.63,13.33,7.54,1.5,114.84,32280000000.0,34870000000.0,15.45,2.54,1.45,9.53,1.45,5600000000.0,1.5,2069999999.9999998,9.75,5.90,0.80,3860000000.0,19.47,5930000000.0,1.39,36.37,162.69,1.5,0.54,88.40,2600000.0,1.70,1.30,3230000.0,N/A
211,N/A,N/A,nov,N/A,N/A,N/A,N/A,N/A,15.24,9.45,1.04,1.11,11.67,17.34,6.80,1.5,50.09,22560000000.0,21940000000.0,18.04,2.19,1.02,4.88,1.02,5810000000.0,1.5,2450000000.0,5.82,9.60,7.70,3540000000.0,8.63,3170000000.0,2.19,49.39,55.03,1.5,0.23,88.00,29180000.0,4.20,6.80,27260000.0,N/A
212,N/A,N/A,nsc,N/A,N/A,N/A,N/A,N/A,75.00,16.13,2.66,2.50,17.21,30.68,6.78,1.5,37.57,31680000000.0,41030000000.0,14.57,1.60,3.53,9.07,3.53,7420000000.0,1.5,1990000000.0,6.39,0.40,0.40,973000000.0,3.17,9310000000.0,1.56,40.25,103.04,1.5,0.39,67.50,9100000.0,4.40,2.80,9290000.0,N/A
213,N/A,N/A,ntap,N/A,N/A,N/A,N/A,N/A,42.61,18.94,1.80,3.20,9.98,13.12,5.60,1.5,19.42,11220000000.0,7300000000.0,12.33,1.12,1.17,7.31,1.17,3920000000.0,1.5,622000000.0,1.90,8.00,3.60,5250000000.0,16.85,1490000000.0,2.63,11.26,35.99,1.5,0.73,90.90,12000000.0,3.40,3.70,9740000.0,N/A
214,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,58.40,21.34,0.70,1.90,3.38,6.55,5.60,1.5,65.99,15120000000.0,18980000000.0,15.09,1.50,0.90,9.01,0.90,1910000000.0,1.5,711620000.0,2.22,23.40,2.20,1120000000.0,3.52,4720000000.0,3.07,24.36,47.38,1.5,0.60,79.00,8050000.000000001,2.90,2.50,9640000.0,N/A
215,N/A,N/A,nus,N/A,N/A,N/A,N/A,N/A,26.24,18.38,1.36,3.67,7.36,13.71,12.81,1.5,43.50,3400000000.0,3560000000.0,13.05,3.34,1.39,8.74,1.39,2089999999.9999998,1.5,189180000.0,3.11,62.90,42.30,301450000.0,5.07,247340000.0,2.00,15.97,57.15,1.5,6.06,70.90,5820000.0,5.80,10.10,7280000.0,N/A
216,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,31.65,19.72,2.61,2.74,13.47,16.21,6.57,1.5,8.48,12150000000.0,9290000000.0,16.73,1.66,1.98,9.49,1.98,2600000000.0,1.5,630590000.0,1.12,31.50,9.30,4620000000.0,8.41,1400000000.0,6.38,8.11,22.09,1.5,5.20,83.00,53630000.0,6.50,12.30,47240000.0,N/A
217,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,134.44,28.81,1.81,5.63,6.60,13.45,7.55,1.5,20.74,10500000000.0,13050000000.0,16.49,1.97,2.28,14.12,2.28,2200000000.0,1.5,373100000.0,1.36,55.70,4.10,199400000.0,0.74,2490000000.0,1.28,6.88,39.09,1.5,0.53,91.20,4920000.0,3.70,2.10,4770000.0,N/A
218,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,207.29,32.91,0.85,17.43,2.58,9.32,4.30,1.5,58.24,10240000000.0,18190000000.0,27.91,10.42,1.49,12.70,1.49,2109999999.9999998,1.5,319710000.0,1.49,4.20,17.50,172810000.0,0.83,8300000000.000001,0.55,2.84,49.13,1.5,0.83,74.10,10680000.0,4.90,5.20,10360000.0,N/A
219,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,66.47,18.10,4.83,3.91,27.88,38.71,10.14,1.5,8.76,189180000000.0,178490000000.0,14.39,1.89,4.60,10.63,4.60,31040000000.0,1.5,10830000000.0,2.39,2.70,0.20,43780000000.0,10.02,32259999999.999996,3.72,11.00,43.32,1.5,25.05,61.60,28910000.0,1.80,0.90,29680000.0,N/A
220,N/A,N/A,orly,N/A,N/A,N/A,N/A,N/A,69.19,29.58,3.02,10.77,10.78,17.61,12.60,1.5,69.21,22070000000.0,23510000000.0,22.36,1.62,3.26,16.01,3.26,3710000000.0,1.5,778180000.0,7.34,19.30,8.80,250560000.0,2.47,1400000000.0,1.08,19.87,217.15,1.5,2.92,89.60,5330000.0,9.40,5.40,5440000.0,N/A
221,N/A,N/A,pcar,N/A,N/A,N/A,N/A,N/A,122.55,16.72,1.17,3.30,7.15,10.53,6.05,1.5,53.51,22650000000.0,27760000000.0,13.83,1.18,1.46,11.35,1.46,3050000000.0,1.5,1360000000.0,3.82,18.00,11.30,2940000000.0,8.29,8279999999.999999,1.94,19.05,63.88,1.5,2.39,61.80,13870000.0,8.60,4.00,14770000.0,N/A
222,N/A,N/A,pcg,N/A,N/A,N/A,N/A,N/A,98.48,17.18,1.46,1.58,8.40,13.64,2.52,1.5,36.52,25050000000.0,40870000000.0,14.37,3.67,2.39,8.58,2.39,4880000000.0,1.5,1440000000.0,3.06,52.30,8.40,151000000.0,0.32,15760000000.0,1.08,33.09,52.58,1.5,0.05,80.50,4430000.0,1.40,2.10,5020000.0,N/A
223,N/A,N/A,pcln,N/A,N/A,N/A,N/A,N/A,45.38,26.09,7.31,7.20,28.69,36.49,15.17,1.5,161.41,61880000000.0,61380000000.0,17.61,1.09,7.27,18.67,7.27,7580000000.0,1.5,2420000000.0,45.67,19.50,19.40,4290000000.0,82.61,3890000000.0,3.82,164.96,191.42,1.5,0.48,95.30,1240000.0,2.00,2.40,1600000.0,N/A
224,N/A,N/A,pcp,N/A,N/A,N/A,N/A,N/A,35.10,15.72,2.82,2.42,18.60,28.17,9.36,1.5,70.16,28910000000.0,33909999999.999996,14.98,1.42,3.36,10.73,3.36,3300000000.0,1.5,1880000000.0,12.97,2.80,5.20,430000000.0,3.03,4150000000.0000005,2.53,83.14,203.90,1.5,0.24,92.30,3400000.0,3.70,2.40,3990000.0,N/A
225,N/A,N/A,pdco,N/A,N/A,N/A,N/A,N/A,49.95,22.10,1.07,3.19,4.95,8.32,7.70,1.5,43.65,4680000000.0,5160000000.0,19.47,2.16,1.19,12.58,1.19,1200000000.0,1.5,214410000.0,2.14,4.10,1.80,342050000.0,3.46,726640000.0,2.64,14.72,47.32,1.5,17.42,79.10,6400000.0,9.60,7.50,6650000.0,N/A
226,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,75.04,13.99,1.91,1.70,13.94,24.10,4.83,1.5,21.51,21170000000.0,29900000000.0,14.47,5.27,2.75,7.38,2.75,3850000000.0,1.5,1520000000.0,2.99,138.00,19.60,417000000.0,0.82,9140000000.0,1.18,24.09,41.82,1.5,0.14,67.90,11250000.0,3.40,2.20,11510000.0,N/A
227,N/A,N/A,pep,N/A,N/A,N/A,N/A,N/A,164.67,22.63,2.13,8.11,9.77,15.00,8.45,1.5,44.19,143050000000.0,162770000000.0,19.11,3.06,2.44,13.11,2.44,35800000000.0,1.5,6500000000.0,4.26,24.70,0.80,8730000000.0,5.89,28900000000.0,1.14,11.81,96.50,1.5,0.09,70.70,9300000.0,1.80,0.60,10370000.0,N/A
228,N/A,N/A,pfe,N/A,N/A,N/A,N/A,N/A,51.24,24.62,4.33,3.09,18.42,31.58,5.74,1.5,7.82,214570000000.0,217840000000.0,15.63,5.46,4.39,10.40,4.39,40030000000.0,1.5,9080000000.0,1.42,52.20,3.20,36160000000.0,5.90,36700000000.0,2.67,11.33,35.01,1.5,0.02,49.70,128130000.0,4.30,2.10,156560000.0,N/A
229,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,29.88,13.92,1.43,1.47,10.92,15.62,0.48,1.5,35.55,14940000000.0,14040000000.0,10.72,1.08,1.34,7.77,1.34,5250000000.0,1.5,1090000000.0,3.65,15.30,8.80,3830000000.0,13.01,3070000000.0,2.56,34.65,50.81,1.5,0.27,64.90,5980000.0,4.10,2.00,5940000.0,N/A
230,N/A,N/A,pg,N/A,N/A,N/A,N/A,N/A,53.16,25.07,2.71,3.54,11.63,19.29,7.10,1.5,30.31,223790000000.0,248660000000.0,19.50,3.40,3.03,13.09,3.03,40600000000.0,1.5,10910000000.0,3.31,30.80,4.40,12250000000.0,4.54,34450000000.0,0.97,23.34,82.87,1.5,0.05,21.50,15980000.0,1.70,0.60,14510000.0,N/A
231,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,31.24,12.60,0.81,2.27,6.61,10.47,5.05,1.5,32.81,15950000000.0,15750000000.0,14.18,2.52,0.81,7.41,0.81,2089999999.9999998,1.5,1280000000.0,2.15,23.50,12.10,2260000000.0,3.83,2160000000.0,0.59,11.79,27.09,1.5,8.72,80.50,15600000.0,4.70,2.70,14830000.0,N/A
232,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,51.52,16.94,1.30,3.01,8.21,12.19,7.96,1.5,89.75,17500000000.0,18180000000.0,14.18,1.50,1.37,9.34,1.37,3030000000.0,1.5,1090000000.0,7.25,5.50,0.90,1960000000.0,13.77,2970000000.0,2.45,40.41,122.83,1.5,0.79,81.00,9640000.0,7.30,7.30,9810000.0,N/A
233,N/A,N/A,phm,N/A,N/A,N/A,N/A,N/A,41.91,17.39,1.40,1.71,8.15,12.27,5.16,1.5,15.72,8060000000.000001,8930000000.0,14.04,3.79,1.54,11.84,1.54,1380000000.0,1.5,471090000.0,1.26,1.30,10.10,1300000000.0,3.52,2009999999.9999998,4.67,13.01,21.90,1.5,10.21,83.00,12080000.0,2.60,3.30,13780000.0,N/A
234,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,51.56,37.06,2.58,2.81,7.05,10.14,3.51,1.5,19.87,5820000000.0,6700000000.0,17.82,2.11,3.00,19.51,3.00,1000000000.0,1.5,161170000.0,1.39,54.00,2.80,174820000.0,1.55,1050000000.0,1.79,18.16,51.51,1.5,0.97,95.20,4860000.0,5.00,5.00,3020000.0,N/A
235,N/A,N/A,pll,N/A,N/A,N/A,N/A,N/A,75.90,28.47,3.67,6.75,13.37,18.99,9.48,1.5,26.18,10520000000.0,10740000000.0,23.72,2.08,3.77,16.20,3.77,1430000000.0,1.5,381450000.0,3.47,0.90,0.50,1030000000.0,9.65,1180000000.0,1.61,14.54,98.66,1.5,0.20,95.30,4260000.0,8.70,4.00,4340000.0,N/A
236,N/A,N/A,pnr,N/A,N/A,N/A,N/A,N/A,64.41,57.36,1.65,2.49,3.05,13.36,5.25,1.5,36.93,11680000000.0,14330000000.0,14.89,1.49,2.04,12.01,2.04,2460000000.0,1.5,607000000.0,1.12,23.60,1.60,110400000.0,0.61,3000000000.0,1.77,25.56,64.01,1.5,0.17,79.40,6090000.0,4.70,3.40,6050000.0,N/A
237,N/A,N/A,pnw,N/A,N/A,N/A,N/A,N/A,78.83,17.71,1.98,1.59,11.39,23.23,3.65,1.5,31.56,7010000000.0,10610000000.0,15.77,3.87,3.04,8.11,3.04,1400000000.0,1.5,397600000.0,3.58,77.70,3.80,7600000.0,0.07,3560000000.0,0.62,39.50,63.40,1.5,0.40,80.20,1550000.0,2.00,1.40,1920000.0,N/A
238,N/A,N/A,pom,N/A,N/A,N/A,N/A,N/A,131.21,27.52,1.38,1.55,4.96,14.56,2.91,1.5,19.43,6680000000.0,12590000000.0,18.74,2.59,2.58,10.00,2.58,1670000000.0,1.5,242000000.0,0.96,39.70,2.50,14000000.0,0.06,5840000000.0,0.53,17.10,26.42,1.5,0.24,59.40,3510000.0,2.60,1.40,3060000.0,N/A
239,N/A,N/A,ppg,N/A,N/A,N/A,N/A,N/A,76.45,15.15,2.01,5.95,13.69,12.00,6.89,1.5,111.06,30980000000.0,34060000000.000004,17.62,1.60,2.22,14.69,2.22,6570000000.0,1.5,1100000000.0,15.03,67.30,5.90,1190000000.0,8.73,4019999999.9999995,1.41,38.09,227.68,1.5,5.29,72.10,844.93,1.30,0.60,1140000.0,N/A
240,N/A,N/A,psa,N/A,N/A,N/A,N/A,N/A,0.68,36.49,14.38,6.36,50.10,50.98,7.39,1.5,13.26,33110000000.0,36880000000.0,20.69,3.62,16.15,23.03,16.15,1580000000.0,1.5,908180000.0,5.25,16.90,14.90,187710000.0,1.09,64360000.0,0.71,29.90,191.59,1.5,14.44,80.30,2250000.0,3.20,1.80,2120000.0,N/A
241,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,39.41,9.52,0.29,1.97,3.25,2.32,4.32,1.5,259.04,43100000000.0,46050000000.0,11.25,1.55,0.31,10.46,0.31,21030000000.0,1.5,4050000000.0,8.33,38.90,20.50,5210000000.0,9.58,8680000000.0,1.51,39.51,79.30,1.5,0.05,71.50,8310000.000000001,2.60,1.50,7670000.0,N/A
242,N/A,N/A,pwr,N/A,N/A,N/A,N/A,N/A,1.80,21.77,0.77,1.41,3.78,6.21,5.03,1.5,35.74,6090000000.0,5830000000.0,11.82,1.00,0.74,8.56,0.74,1230000000.0,1.5,297340000.0,1.35,60.10,12.90,190510000.0,0.92,81360000.0,2.25,20.70,29.32,1.5,1.08,91.90,4330000.0,2.50,2.00,4130000.0,N/A
243,N/A,N/A,px,N/A,N/A,N/A,N/A,N/A,149.66,21.29,2.83,6.20,13.80,22.12,8.47,1.5,41.96,35230000000.0,44470000000.0,17.55,1.91,3.62,11.45,3.62,5310000000.0,1.5,1690000000.0,5.73,36.30,0.70,126000000.0,0.44,9260000000.0,1.14,19.44,122.00,1.5,0.13,1.70,6610000.0,4.50,2.30,6570000.0,N/A
244,N/A,N/A,r,N/A,N/A,N/A,N/A,N/A,248.01,23.37,0.75,2.75,3.29,8.91,3.94,1.5,126.37,5080000000.0,9520000000.0,13.27,1.25,1.43,5.85,1.43,1380000000.0,1.5,219600000.0,4.11,82.50,2.40,50570000.0,0.95,4510000000.0,0.98,34.30,95.95,1.5,1.90,46.20,1750000.0,3.90,3.30,1800000.0,N/A
245,N/A,N/A,rai,N/A,N/A,N/A,N/A,N/A,112.41,27.34,4.69,8.78,17.35,32.00,11.08,1.5,15.89,39900000000.0,43620000000.0,18.32,1.48,5.15,15.57,5.15,4410000000.0,1.5,1440000000.0,2.75,49.30,4.70,966000000.0,1.82,5080000000.0,0.94,8.51,75.10,1.5,42.69,45.50,15830000.0,5.00,5.10,17330000.0,N/A
246,N/A,N/A,rhi,N/A,N/A,N/A,N/A,N/A,0.13,26.30,1.66,7.95,6.52,10.58,19.79,1.5,34.94,7890000000.0,7610000000.0,19.36,1.43,1.62,13.93,1.62,1920000000.0,1.5,305930000.0,2.26,25.70,12.70,287120000.0,2.16,1300000.0,2.12,7.38,59.43,1.5,4.06,92.50,3240000.0,4.10,2.50,3070000.0,N/A
247,N/A,N/A,rht,N/A,N/A,N/A,N/A,N/A,55.53,78.38,7.58,10.53,10.07,13.97,4.52,1.5,9.59,13660000000.0,13350000000.0,34.79,2.67,7.46,40.92,7.46,1300000000.0,1.5,180200000.0,0.95,5.80,15.90,1260000000.0,6.88,715400000.0,1.48,7.02,74.46,1.5,10.93,84.90,6720000.0,3.60,4.30,7190000.0,N/A
248,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,16.59,16.83,1.54,2.87,9.62,14.15,10.84,1.5,85.15,11960000000.0,11330000000.0,19.10,2.60,1.49,8.33,1.49,4310000000.0,1.5,731000000.0,8.14,9.30,0.90,1410000000.0,16.11,676000000.0,2.80,46.68,136.95,1.5,1.08,92.40,2380000.0,2.80,3.90,2440000.0,N/A
249,N/A,N/A,rok,N/A,N/A,N/A,N/A,N/A,55.02,18.83,2.30,5.92,12.76,18.13,12.33,1.5,48.13,15460000000.0,14610000000.0,16.24,1.95,2.21,10.86,2.21,2750000000.0,1.5,841800000.0,6.06,8.10,1.10,1910000000.0,14.12,1410000000.0,2.22,18.97,114.14,1.5,0.58,77.20,6850000.0,6.50,5.10,6500000.0,N/A
250,N/A,N/A,rop,N/A,N/A,N/A,N/A,N/A,46.56,26.42,4.72,3.52,18.20,28.24,7.55,1.5,35.53,16969999999.999998,18700000000.0,22.67,1.86,5.27,15.58,5.27,2100000000.0,1.5,646030000.0,6.40,12.20,6.40,610430000.0,6.08,2210000000.0,2.41,47.49,169.09,1.5,1.58,95.00,1460000.0,4.00,1.70,1390000.0,N/A
251,N/A,N/A,rost,N/A,N/A,N/A,N/A,N/A,17.48,23.14,1.89,9.14,8.38,13.48,21.63,1.5,53.40,21220000000.0,21170000000.0,18.91,1.75,1.92,12.30,1.92,3100000000.0,1.5,924720000.0,4.42,14.00,10.60,697110000.0,3.36,398380000.0,1.36,10.99,102.29,1.5,2.05,90.90,2550000.0,2.00,1.30,3010000.0,N/A
252,N/A,N/A,rrc,N/A,N/A,N/A,N/A,N/A,88.88,15.92,4.92,2.91,31.06,46.37,7.38,1.5,12.48,10000000000.0,12220000000.0,100.68,17.17,5.98,7.76,5.98,1440000000.0,1.5,623660000.0,3.79,908.30,5.80,448.00,0.00,3070000000.0,0.76,20.89,60.41,1.5,2.42,94.70,18260000.0,6.50,13.50,17250000.0,N/A
253,N/A,N/A,rsg,N/A,N/A,N/A,N/A,N/A,91.14,26.01,1.58,1.79,6.23,14.51,3.98,1.5,24.64,14050000000.0,21470000000.0,18.09,3.39,2.44,9.50,2.44,3160000000.0,1.5,547600000.0,1.53,78.70,3.90,75200000.0,0.21,7060000000.0,0.76,21.96,39.79,1.5,27.80,70.90,6680000.0,4.20,2.70,6780000.0,N/A
254,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,33.86,29.09,4.20,12.38,14.76,17.19,16.17,1.5,11.32,71940000000.0,72370000000.0,25.93,1.66,4.25,19.51,4.25,9590000000.0,1.5,2510000000.0,1.65,81.80,13.30,1950000000.0,1.30,2080000000.0,1.28,3.85,47.97,1.5,2.69,73.90,8820000.0,2.00,1.20,8900000.0,N/A
255,N/A,N/A,scg,N/A,N/A,N/A,N/A,N/A,139.44,14.40,1.56,1.55,10.87,20.34,3.93,1.5,34.89,7800000000.0,14800000000.0,13.99,3.42,2.99,10.18,2.99,1620000000.0,1.5,538000000.0,3.79,1.90,8.80,137000000.0,0.96,6950000000.0,0.85,34.95,54.58,1.5,10.00,53.00,5830000.0,5.20,4.50,5710000.0,N/A
256,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,137.75,23.57,4.30,3.11,18.33,32.59,3.56,1.5,8.80,25470000000.0,39360000000.0,27.50,6.25,6.67,14.40,6.67,3110000000.0,1.5,1080000000.0,1.61,33.90,2.20,223000000.0,0.33,14680000000.0,0.61,12.16,37.95,1.5,0.17,68.70,21890000.0,5.50,3.30,20440000.0,N/A
257,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,379.60,36.79,1.19,7.98,3.33,10.10,5.68,1.5,36.91,9280000000.0,13820000000.0,18.17,1.55,1.78,13.17,1.78,2690000000.0,1.5,256500000.0,1.20,128.80,1.90,322600000.0,1.54,4410000000.0,1.56,5.52,44.15,1.5,10.02,84.50,5410000.0,3.50,2.60,6570000.0,N/A
258,N/A,N/A,shw,N/A,N/A,N/A,N/A,N/A,181.18,32.11,2.39,26.68,7.78,11.54,13.28,1.5,115.70,26560000000.0,29410000000.0,21.79,1.63,2.64,19.83,2.64,5160000000.0,1.5,860990000.0,8.78,14.30,4.60,40730000.0,0.43,1810000000.0,0.96,10.58,281.91,1.5,14.81,76.80,2390000.0,3.20,3.30,3200000.0,N/A
259,N/A,N/A,sial,N/A,N/A,N/A,N/A,N/A,14.22,33.24,5.93,5.26,17.95,25.67,11.17,1.5,23.40,16550000000.0,15970000000.0,29.43,4.82,5.73,18.85,5.73,1420000000.0,1.5,500000000.0,4.17,1.50,3.10,1010000000.0,8.49,445000000.0,4.59,26.30,138.61,1.5,0.22,81.80,951.51,1.20,0.90,1800000.0,N/A
260,N/A,N/A,siri,N/A,N/A,N/A,N/A,N/A,343.66,48.88,5.18,16.72,11.80,26.78,8.13,1.5,0.72,21820000000.0,26400000000.0,26.07,1.12,6.31,19.05,6.31,2080000000.0,1.5,493240000.0,0.08,119.50,9.10,147720000.0,0.03,4500000000.0,0.67,0.23,3.91,1.5,57.91,27.40,130400000.0,4.90,5.60,136420000.0,N/A
261,N/A,N/A,sjm,N/A,N/A,N/A,N/A,N/A,41.73,21.51,2.18,2.29,10.10,16.79,6.36,1.5,54.26,11910000000.0,13950000000.0,20.12,4.05,2.55,11.94,2.55,2029999999.9999998,1.5,549800000.0,5.44,3.50,1.70,111700000.0,1.10,2180000000.0,2.13,51.34,117.08,1.5,4.99,68.90,4730000.0,7.10,4.80,5170000.0,N/A
262,N/A,N/A,slb,N/A,N/A,N/A,N/A,N/A,35.14,22.27,2.44,3.13,11.19,19.54,8.85,1.5,37.51,117930000000.0,119510000000.0,25.83,2.72,2.46,8.80,2.46,11180000000.0,1.5,5640000000.0,4.15,81.90,6.20,7500000000.0,5.88,13370000000.0,1.74,29.68,92.47,1.5,0.06,79.50,20710000.0,2.60,1.60,21500000.0,N/A
263,N/A,N/A,sna,N/A,N/A,N/A,N/A,N/A,41.31,20.81,2.43,3.85,12.08,19.79,10.26,1.5,60.11,8640000000.0,9410000000.0,16.91,1.89,2.69,12.43,2.69,1730000000.0,1.5,421900000.0,7.14,23.00,8.50,132800000.00000001,2.29,919300000.0,2.59,37.99,148.61,1.5,0.75,85.70,647.17,1.80,1.10,746.81,N/A
264,N/A,N/A,sni,N/A,N/A,N/A,N/A,N/A,133.61,18.20,3.39,6.55,20.46,39.24,14.36,1.5,18.86,9180000000.0,10590000000.0,14.49,1.48,3.97,9.01,3.97,1890000000.0,1.5,545280000.0,3.83,21.50,2.30,878160000.0,6.67,2380000000.0,1.85,10.47,69.72,1.5,23.69,72.10,10620000.0,10.30,12.50,9430000.0,N/A
265,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,117.16,20.53,2.17,2.01,10.63,19.72,3.36,1.5,20.58,40730000000.0,65959999999.99999,15.28,4.71,3.57,11.11,3.57,7440000000.0,1.5,1960000000.0,2.18,31.60,2.30,717000000.0,0.79,25000000000.0,0.71,21.98,44.76,1.5,0.03,50.70,30030000.0,5.30,3.40,23920000.0,N/A
266,N/A,N/A,spg,N/A,N/A,N/A,N/A,N/A,348.92,41.71,12.01,11.59,28.92,48.97,4.74,1.5,15.68,58610000000.0,80430000000.0,17.71,2.55,16.51,21.91,16.51,3990000000.0,1.5,1380000000.0,4.52,6.10,3.70,612280000.0,1.97,20860000000.0,0.43,16.25,188.60,1.5,0.81,97.90,4810000.0,2.70,1.80,4059999.9999999995,N/A
267,N/A,N/A,sre,N/A,N/A,N/A,N/A,N/A,118.75,23.43,2.38,2.32,10.52,16.15,2.89,1.5,44.88,26720000000.0,40350000000.0,20.78,2.69,3.66,13.73,3.66,3350000000.0,1.5,1160000000.0,4.63,5.30,1.60,588000000.0,2.39,14370000000.0,0.83,45.98,108.46,1.5,5.73,71.10,2580000.0,2.00,1.10,2420000.0,N/A
268,N/A,N/A,stj,N/A,N/A,N/A,N/A,N/A,91.09,19.72,3.39,4.63,17.82,25.79,8.86,1.5,19.73,19190000000.0,21570000000.0,15.83,1.72,3.84,12.26,3.84,3970000000.0,1.5,1000000000.0,3.46,99.20,1.20,1470000000.0,5.23,3870000000.0,1.47,14.65,68.23,1.5,2.37,83.40,6450000.0,3.70,2.70,6270000.0,N/A
269,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,105.87,9.81,1.33,5.08,14.30,12.48,11.23,1.5,43.39,19420000000.0,18880000000.0,11.42,1.90,1.33,7.21,1.33,3850000000.0,1.5,2029999999.9999998,6.03,118.00,4.80,3300000000.0,10.06,3930000000.0,2.35,11.30,59.13,1.5,4.79,87.00,24190000.0,6.00,7.50,22460000.0,N/A
270,N/A,N/A,stz,N/A,N/A,N/A,N/A,N/A,124.94,27.93,3.73,3.89,13.92,26.26,6.72,1.5,31.28,22570000000.0,30820000000.0,21.06,1.63,5.11,17.27,5.11,1990000000.0,1.5,839300000.0,4.17,36.50,5.00,110100000.0,0.57,7350000000.0,2.57,29.78,116.46,1.5,5.04,87.10,2580000.0,2.60,1.60,2790000.0,N/A
271,N/A,N/A,swn,N/A,N/A,N/A,N/A,N/A,149.55,10.29,2.37,2.05,22.88,37.64,8.27,1.5,11.49,9490000000.0,15460000000.0,21.39,6.54,3.83,6.28,3.83,3610000000.0,1.5,924000000.0,2.62,115.20,6.10,53000000.0,0.15,6970000000.0,0.21,13.24,26.95,1.5,6.11,85.90,47710000.0,5.50,14.20,45040000.0,N/A
272,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,46.22,69.66,3.62,4.07,5.32,23.01,8.32,1.5,25.56,35360000000.0,34480000000.0,17.00,2.16,3.56,13.24,3.56,6380000000.0,1.5,515000000.0,1.34,32.60,6.10,5000000000.0,13.20,3970000000.0,2.17,22.74,93.35,1.5,13.27,72.00,3330000.0,2.50,1.00,3370000.0,N/A
273,N/A,N/A,symc,N/A,N/A,N/A,N/A,N/A,35.45,18.19,2.50,2.80,13.89,22.25,6.98,1.5,9.58,16510000000.000002,15810000000.0,12.53,1.77,2.39,8.24,2.39,5530000000.0,1.5,919000000.0,1.33,21.60,3.90,3740000000.0,5.48,2100000000.0,1.24,8.66,24.19,1.5,0.25,92.30,10220000.0,2.30,1.70,11530000.0,N/A
274,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,142.00,25.37,0.46,4.13,1.81,3.75,7.27,1.5,81.82,22090000000.0,25340000000.0,18.37,2.87,0.53,10.64,0.53,8180000000.0,1.5,871900000.0,1.47,25.10,7.60,4910000000.0,8.29,7640000000.0,2.67,9.04,37.30,1.5,0.24,79.50,33650000.0,9.40,5.70,35850000.0,N/A
