,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
102,N/A,N/A,ed,N/A,N/A,N/A,N/A,N/A,103.23,16.66,1.38,1.42,8.45,16.75,3.18,1.5,44.11,18100000000.0,30120000000.0,15.45,5.80,2.33,9.31,2.33,5110000000.0,1.5,1090000000.0,3.71,65.00,1.40,699000000.0,2.39,12990000000.0,1.02,42.94,61.80,1.5,0.26,50.10,12310000.0,4.50,4.20,10980000.0,N/A
103,N/A,N/A,efx,N/A,N/A,N/A,N/A,N/A,68.29,31.43,4.50,4.98,15.08,26.52,8.77,1.5,20.10,11150000000.0,12560000000.0,19.61,2.13,5.16,14.77,5.16,1590000000.0,1.5,367400000.0,2.97,27.80,8.00,128300000.00000001,1.07,1530000000.0,0.74,18.43,93.34,1.5,0.87,90.10,1510000.0,2.60,1.40,1900000.0,N/A
104,N/A,N/A,eix,N/A,N/A,N/A,N/A,N/A,92.62,12.58,1.48,1.82,12.02,19.63,3.40,1.5,41.14,20090000000.0,33600000000.0,15.73,4.88,2.51,8.05,2.51,4670000000.0,1.5,1430000000.0,4.90,39.50,5.80,132000000.0,0.41,12030000000.0,0.73,33.64,61.65,1.5,0.19,81.60,5050000.0,2.20,1.60,4080000.0,N/A
105,N/A,N/A,el,N/A,N/A,N/A,N/A,N/A,36.28,28.42,2.86,8.22,10.36,15.51,13.52,1.5,28.62,31210000000.0,31560000000.0,25.32,3.29,2.88,15.05,2.88,8810000000.0,1.5,1130000000.0,2.90,0.70,0.90,1370000000.0,3.63,1390000000.0,2.17,10.08,82.54,1.5,2.97,90.10,5720000.0,3.50,2.50,6190000.0,N/A
106,N/A,N/A,emc,N/A,N/A,N/A,N/A,N/A,23.36,20.37,2.16,2.41,11.11,18.20,6.06,1.5,12.05,53240000000.0,48530000000.0,12.28,1.10,1.99,8.32,1.99,15250000000.0,1.5,2710000000.0,1.32,12.10,5.50,8320000000.0,4.18,5500000000.0,1.34,11.03,26.78,1.5,0.20,83.10,29770000.0,1.70,1.50,26290000.0,N/A
107,N/A,N/A,emn,N/A,N/A,N/A,N/A,N/A,210.72,15.25,1.18,3.21,7.88,16.93,7.22,1.5,63.73,11250000000.0,18100000000.0,9.87,1.40,1.90,8.80,1.90,2220000000.0,1.5,749000000.0,4.96,95.40,3.70,214000000.0,1.44,7560000000.0,1.57,23.61,75.71,1.5,0.66,84.10,3660000.0,2.50,2.50,4530000.0,N/A
108,N/A,N/A,emr,N/A,N/A,N/A,N/A,N/A,70.88,18.75,1.63,4.23,9.01,17.32,11.10,1.5,35.17,40220000000.0,42600000000.0,15.21,2.05,1.74,8.54,1.74,10160000000.0,1.5,2210000000.0,3.13,13.60,0.30,3120000000.0,4.56,6770000000.0,1.18,13.81,58.70,1.5,0.61,72.30,22320000.0,4.40,3.20,23290000.0,N/A
109,N/A,N/A,eog,N/A,N/A,N/A,N/A,N/A,33.37,18.37,3.19,3.01,17.47,28.36,9.06,1.5,30.72,53610000000.0,56800000000.0,55.22,433.24,3.40,6.00,3.40,15500000000.0,1.5,2920000000.0,5.32,23.40,6.30,2089999999.9999998,3.81,5910000000.0,1.60,32.31,97.74,1.5,0.46,93.30,9700000.0,2.40,1.80,9480000.0,N/A
110,N/A,N/A,esrx,N/A,N/A,N/A,N/A,N/A,67.62,32.49,0.62,3.10,1.99,4.64,5.45,1.5,134.46,62350000000.0,76320000000.0,14.27,1.27,0.76,11.41,0.76,7930000000.0,1.5,2009999999.9999998,2.64,15.90,2.10,1830000000.0,2.52,13570000000.0,0.62,27.62,85.78,1.5,0.23,91.00,18980000.0,5.50,2.60,18460000.0,N/A
111,N/A,N/A,etn,N/A,N/A,N/A,N/A,N/A,57.10,18.57,1.43,2.05,7.95,11.54,4.71,1.5,47.57,32659999999.999996,40160000000.0,13.10,1.57,1.78,11.20,1.78,6910000000.0,1.5,1790000000.0,3.76,21.30,0.70,1030000000.0,2.19,9040000000.0,1.51,33.74,69.81,1.5,0.33,75.90,4520000.0,2.00,1.00,4110000.0000000005,N/A
